category,date,title,menu,kcal
점심,2017년 06월 02일 금요일,대현급식,"찰밥, 육개장, 가자미구이,햇감자샐러드,깍두기, 수박, 우유",604 kcal
점심,2017년 06월 05일 월요일,대현급식,"흑미밥,청국장찌개,미역줄기볶음,훈제오리무쌈,오이김치,우유",638 kcal
점심,2017년 06월 06일 화요일,현충일,현충일입니다.,
점심,2017년 06월 07일 수요일,대현급식,"김치볶음밥,들깨미역국,포크커틀릿,오이김치, 참외,우유",635 kcal
점심,2017년 06월 08일 목요일,대현급식,"기장밥,소고기무국,코다리강정조림,콩나물냉채,열무김치,망고,우유",541 kcal
점심,2017년 06월 09일 금요일,대현급식,"흑미밥, 대구탕, 미역오이초무침,김치떡갈비,배추김치, 식혜,우유",676 kcal
점심,2017년 06월 12일 월요일,대현급식,"기장밥,수제비국,흰살생선튀김,쑥갓무침,배추김치,타르타르소스,우유",600 kcal
점심,2017년 06월 13일 화요일,대현급식,"잡곡밥,호박감자된장국,소고기무우찜,고구마튀김,깻잎김치,우유",638 kcal
점심,2017년 06월 14일 수요일,대현급식,"짜장밥,오징어실채무침,메이플피칸파이,요구르트,깍두기,우유",604 kcal
점심,2017년 06월 15일 목요일,대현급식,"차수수밥,아욱국,감자조림,파닭,배추김치,수박,우유",587 kcal
점심,2017년 06월 16일 금요일,대현급식,"옥수수밥,콩나물국,찹스테이크,버섯애호박볶음,배추김치,케잌,우유",580 kcal
점심,2017년 06월 19일 월요일,흑미밥,"흑미밥, 설렁탕, 떡볶이,완자전, 배추김치,조미김, 우유",642 kcal
점심,2017년 06월 20일 화요일,대현급식,"현미밥,황태감자국,마파두부,대하구이,배추김치,골드키위(1/2)요구르트,우유",586 kcal
점심,2017년 06월 21일 수요일,대현급식,"야채볶음밥,미소국,한우사태고추장떡볶음,배추김치,수박,우유",605 kcal
점심,2017년 06월 22일 목요일,대현급식,"잡곡밥,추어탕,참나물무침,탕수육,섞박지,우유",634 kcal
점심,2017년 06월 23일 금요일,대현급식,"쌀밥,소고기무국,갈치풋호박조림,돌김자반,오렌지쥬스,우유",567 kcal
점심,2017년 06월 26일 월요일,대현급식,"찰밥, 순두부찌개,수제소시지채소볶음,감자구이,오이김치,우유",617 kcal
점심,2017년 06월 27일 화요일,대현급식,"쌀밥,짬뽕국,연근조림,닭강정,배추김치,멜론,우유",
점심,2017년 06월 28일 수요일,대현급식,"곤드레밥,콩나물국,쭈꾸미볶음,열무김치,수제에그타르트,우유",
아침,2017년 06월 29일 목요일,대현급식,"현미밥,미역국,돼지고기두루치기,배추김치,우렁강된장쌈,로메인,우유",
점심,2017년 06월 30일 금요일,대현급식,"현미밥,아욱국,참치김치볶음,탄두리닭봉구이,과일샐러드,조미김,우유",
점심,2017년 07월 03일 월요일,대현급식,"현미밥,소고기전골,꽈리고추어묵볶음,고구마떡강정,배추김치,우유",611 kcal
점심,2017년 07월 04일 화요일,대현급식,"차수수밥,콩나물김치국,오징어실채무침,치즈미트번,오이김치,바나나,우유",595 kcal
점심,2017년 07월 05일 수요일,대현급식,"삼계녹두죽, 돼지갈비감자찜,우리밀호두과자(2개),깍두기,수박,우유",635 kcal
점심,2017년 07월 06일 목요일,대현급식,"기장밥,아욱국,꽁치김치조림,배추김치, 옥수수알치즈구이,요구르트,우유",
점심,2017년 07월 07일 금요일,대현급식,"현미밥,육개장,버섯애호박볶음,탕수육,열무김치,우유",639 kcal
점심,2017년 07월 10일 월요일,대현급식,"찰밥,미역국, 한돈장조림,미나리초무침,골드키위,배추김치,우유",642 kcal
점심,2017년 07월 11일 화요일,대현급식,"흑미밥,우동국,콩나물무침,낚지볶음,열무김치,조미김,우유",592 kcal
점심,2017년 07월 12일 수요일,대현급식,"쌀밥, 파니르커리, 닭안심살튀김, 오이김치, 골드키위, 우유",635 kcal
점심,2017년 07월 13일 목요일,대현급식,"흑미밥, 청국장찌개, 통옥수수버터구이,오이도라지초무침, 연어스테이크, 우유",575 kcal
점심,2017년 07월 14일 금요일,대현급식,"쌀밥, 해물된장국, 바베큐폭립, 탕평채, 배추김치, 참외, 우유",569 kcal
점심,2017년 07월 17일 월요일,대현급식,"쌀밥, 쇠고기무국, 감자조림, 닭꼬치,깻잎김치, 오렌지쥬스,우유",614 kcal
점심,2017년 07월 18일 화요일,대현급식,"차수수밥,참치김치찌개,소고기메추리알조림, 웨지감자, 오이지매실무침,우유",623 kcal
점심,2017년 07월 19일 수요일,대현급식,"짜장밥, 견과류조림,보리빵, 깍두기, 수박, 우유",661 kcal
점심,2017년 07월 20일 목요일,대현급식,"곤드레밥,미소국, 콩나물무침,김치치즈떡갈비,요구르트, 우유",617 kcal
점심,2017년 08월 23일 수요일,파니르커리,"쌀밥,오징어링튀김,오이김치,보리빵,우유",635 kcal
점심,2017년 08월 24일 목요일,쌀밥,쌀밥콩나물두부국5.9.13. 돼지갈비감자찜5.6.10.13. 가지나물5.6.13. 김치볶음5.6.9.13. 거봉/우유2,636 kcal
점심,2017년 08월 25일 금요일,차수수밥,차수수밥 아욱국5.6.9. 감자조림5.6.13. 파닭(2)2.5.6.13. 배추김치9.13. 요구르트2/ 우유2. 587.5/29.3/260.1,597 kcal
점심,2017년 08월 28일 월요일,잡곡밥,잡곡밥 호박감자된장국5.6.13. 소고기무우찜5.6.13. 고구마튀김2.5.6. 깻잎김치13. 우유2,638 kcal
점심,2017년 08월 29일 화요일,흑미밥,흑미밥5. 청국장찌개5.6.9.10.13. 미역줄기볶음5. 훈제오리무쌈1.5.13. 오이김치9.13. 우유2,638 kcal
점심,2017년 08월 30일 수요일,곤드레밥,"곤드레밥5.6.13. 미역국(바지락)5.6.13.18. 쭈꾸미볶음5.6.10.13. 찹쌀팥도우넛 1,2,5,13 열무김치9.13.우유2",600 kcal
점심,2017년 08월 31일 목요일,현미밥,현미밥 감자탕5.6.9.10.13.고사리나물5.6.13. 치즈소시지채소볶음1.2.5.6.10.13.14.15.16.17.18. 오이김치9.13 우유 2,628 kcal
점심,2017년 09월 01일 금요일,현미밥,현미밥 수제비국5.6.13. 돼지고기편육조림5.6.10.13. 배추김치9.13.우유2.6. 양상추샐러드(발사믹)1.5.6.13.,651 kcal
점심,2017년 09월 04일 월요일,현미밥,현미밥(1) 소고기전골13. 도토리묵무침5.6.13. 수제소시지채소볶음1.2.5.6.10.13.14.15.16.17.18. 배추김치9.13.우유2.,626 kcal
점심,2017년 09월 05일 화요일,찰밥,찰밥2 미역국(바지락)5.6.13.17.18. 돈육메추리알장조림1.5.6.10.13. 고구마순볶음5. 배추김치9.13.우유2,596 kcal
점심,2017년 09월 06일 수요일,짜장밥(소고기),짜장밥(소고기)1.2.5.6.10.13. 탕수육1.2.5.6.10.12.13. 깍두기9. 거봉 우유2.,687 kcal
점심,2017년 09월 07일 목요일,현미밥,현미밥 육개장5.6.13. 버섯애호박볶음9.13. 닭꼬치5.6.10.12.13. 열무김치9.13. 우유2,534 kcal
점심,2017년 09월 08일 금요일,쌀밥,쌀밥 쇠고기무국5.6.8.13.16.18. 감자조림5.6.13. 코다리강정조림5.6.13. 깻잎김치13. 오렌지쥬스/우유2.,633 kcal
