name,date,title,content
배수연,2023-05-08,교육감 청렴 서한문 안내,교육감 청렴 서한문 안내 입니다.
배수연,2023-05-08,2023학년도 초등학교 신입생 입학준비금 추가 신청 안내,2023학년도 초등학교 신입생 입학준비금 추가 신청 안내 입니다.
배수연,2023-05-08,2023학년도 불법찬조금 근절 대책 안내,2023학년도 불법찬조금 근절 대책 안내 입니다.
배수연,2023-04-19,2023학년도 초등교외체험학습 안내(신설 항목 추가),2023학년도 초등교외체험학습 안내 (신설 항목 추가)입니다.
배수연,2023-03-09,2023학년도 방과후학교 다자녀 지원 안내,
배수연,2023-03-08,2023 학생출결처리 지침 안내,
배수연,2023-05-08,내 아이의 마음건강 지키기,내 아이의 마음건강 지키기 안내 입니다.
배수연,2023-05-08,"2023학년도 2,3,5,6학년 학생 구강 검진 실시 안내","2023학년도 2,3,5,6학년 학생 구강 검진 실시 안내 입니다."
배수연,2023-05-08,"2023학년도 1,4학년 학생 건강검진, 구강검진 실시 안내","2023학년도 1,4학년 학생 건강검진, 구강검진 실시 안내 입니다."
배수연,2023-05-08,2023 건강체력교실 안내,2023 건강체력교실 안내 입니다.
배수연,2023-05-08,2023 강남서초발명교육센터 유스메이커(초등)과정 안내,2023 강남서초발명교육센터 유스메이커(초등)과정 안내 입니다. 
배수연,2023-05-08,2023학년도 청렴교육 청탁금지법 학부모 연수 자료(2차) 안내,2023학년도 청렴교육 청탁금지법 학부모 연수 자료(2차) 안내 입니다.
배수연,2023-05-08,2023학년도 1학기 자율휴업일(5월1일) 안내,2023학년도 1학기 자율휴업일(5월1일) 안내 입니다.
배수연,2023-05-08,2023학년도 도서관 다독상 선정 및 시상 안내,2023학년도 도서관 다독상 선정 및 시상 안내 입니다.
배수연,2023-05-08,서울특별시교육청어린이 도서관 어린이날 및 개관 44주년 기념행사 안내,서울특별시교육청어린이 도서관 어린이날 및 개관 44주년 기념행사 안내 입니다.
배수연,2023-05-08,자녀의 마음건강 위기 징후 파악 및 돌봄 안내,자녀의 마음건강 위기 징후 파악 및 돌봄 안내 입니다.
배수연,2023-04-19,2023학년도 초등교외체험학습 안내(신설 항목 추가),2023학년도 초등교외체험학습 안내 (신설 항목 추가)입니다.
배수연,2023-03-09,2023학년도 방과후학교 다자녀 지원 안내,
배수연,2023-03-08,2023 학생출결처리 지침 안내,
배수연,2023-05-08,2023 1학년 1학기 진로현장체험학습신청 안내,2023 1학년 1학기 진로현장체험학습신청 안내 입니다.
배수연,2023-05-08,2023 6학년 1학기 진로현장체험학습비 납부 안내,2023 6학년 1학기 진로현장체험학습비 납부 안내 입니다.
배수연,2023-05-08,강남서초 발명교육센터 기초과정 교육대상자 모집,강남서초 발명교육센터 기초과정 교육대상자 모집 안내입니다.
배수연,2023-05-08,2023학년도 학부모와 함께하는 관계 맺음 연수,2023학년도 학부모와 함께하는 관계 맺음 연수 안내 입니다.
배수연,2023-04-19,2023 장애이해 및 인권교육:장애 이해를 돕는 어린이 서적 안내,2023 장애이해 및 인권교육:장애 이해를 돕는 어린이 서적 안내 입니다.
배수연,2023-04-19,5학년 1학기 진로현장체험학습비 변경 인출 안내,5학년 1학기 진로현장체험학습비 변경 인출 안내 입니다.
배수연,2023-04-19,2023 2학년 1학기 진로현장체험학습 신청 안내,2023 2학년 1학기 진로현장체험학습 신청 안내 입니다.
배수연,2023-04-19,2023학생 기후행동 365 운영위원회 위원 모집 및 카카오톡 채널 개설 안내,"2023학생 기후행동 365 운영위원회 위원 모집 및 
카카오톡 채널 개설 안내 입니다."
배수연,2023-04-19,2023학년도 면제.유예.정원외관리 학적처리 계획,2023학년도 면제.유예.정원외관리 학적처리 계획 안내 입니다.
배수연,2023-04-19,2023학년도 초등교외체험학습 안내(신설 항목 추가),2023학년도 초등교외체험학습 안내 (신설 항목 추가)입니다.
배수연,2023-04-19,2023학년도 초등교외체험학습 안내(신설 항목 추가),2023학년도 초등교외체험학습 안내 (신설 항목 추가)입니다.
배수연,2023-03-09,2023학년도 방과후학교 다자녀 지원 안내,
배수연,2023-03-08,2023 학생출결처리 지침 안내,
배수연,2023-04-17,"2023학년도 1,4학년 학생정서행동특성검사 실시 안내","2023학년도 1,4학년 학생정서행동특성검사 실시 안내 입니다."
